uuid,region,settlement,brand,krs_name_s,n_city,d_1,d_road,d_city,popul_dens
d297ae8b-13a0-4314-b6f3-b697224324c3,['Sachsen'],Landkreis,ARAL,['Görlitz'],Dresden,"2817","5778","84788","122"
d26c0c2d-6f66-4988-ad96-7c5d1486938e,['Sachsen'],Landkreis,OIL!,['Bautzen'],Dresden,"8533","22207","59610","126"
d07bf098-4100-4366-a88c-d94f11de0cee,['Sachsen'],Landkreis,Esso,['Bautzen'],Dresden,"4256","10839","52543","126"
cfafd3c2-533d-4912-82d8-159e69b79ff7,['Sachsen'],Stadtkreis,Shell,['Chemnitz'],Chemnitz,"528","7110","2716","1134"
77d83797-8ecc-4db6-adc2-ac9ec282414f,['Sachsen'],Landkreis,Freie Tankstelle,['Bautzen'],Dresden,"2828","13321","34406","126"
e762102a-f63d-4008-bbba-298466ad86e0,['Sachsen'],Stadtkreis,Q1,['Leipzig'],Leipzig,"1149","4792","4482","2087"
e81c4e1a-167f-43d1-bb5b-aaddf05e3654,['Sachsen'],Landkreis,AVIA,['Landkreis Erzgebirgskreis'],Chemnitz,"1890","6685","15768","186"
0e336311-6214-4e20-8524-125f4df94978,['Sachsen'],Stadtkreis,ELAN,['Leipzig'],Leipzig,"609","8400","5328","2087"
e9c0710b-8efa-47ac-b398-d2477f7670fb,['Sachsen'],Stadtkreis,TotalEnergies,['Chemnitz'],Chemnitz,"624","1812","3211","1134"
eb90b276-b141-47ff-96ba-517c6e9ac81f,['Sachsen'],Stadtkreis,Sprint,['Dresden'],Dresden,"115","1252","6156","1726"
ed745239-5cb4-4c93-9d8b-c7e44284e452,['Sachsen'],Landkreis,ARAL,['Zwickau'],Chemnitz,"159","1538","36240","337"
62c5b3e1-6d19-424e-a8ca-3c3ea7c5946a,['Sachsen'],Landkreis,TotalEnergies,['Nordsachsen'],Chemnitz,"3292","14227","53158","98"
798ff64f-9e25-4717-a6e1-1ce7dc58fcf9,['Sachsen'],Landkreis,TotalEnergies,['Landkreis Erzgebirgskreis'],Chemnitz,"3964","12459","14839","186"
f6f4529a-1828-4628-9c8b-ab54aa44fcfc,['Sachsen'],Landkreis,ARAL,['Zwickau'],Chemnitz,"562","5124","31137","337"
8ca692b9-7c57-40cb-bc36-91769564d53c,['Sachsen'],Landkreis,bft,['Mittelsachsen'],Dresden,"6163","34716","38243","146"
a7da2ff0-3bd4-49bd-a764-fa5258900de6,['Sachsen'],Landkreis,TotalEnergies,['Leipzig'],Leipzig,"8385","3061","34727","2087"
6a95a7a2-eda1-4191-bd48-6d5e5b5e5a45,['Sachsen'],Landkreis,Shell,['Zwickau'],Chemnitz,"2711","2618","36741","337"
13c07bcd-cfe8-4be2-bc32-d518643020d2,['Sachsen'],Landkreis,Kaufland,['Mittelsachsen'],Chemnitz,"1035","15749","29704","146"
244191c9-0c24-4844-b7db-599929a77cab,['Sachsen'],Landkreis,Freie Tankstelle,['Nordsachsen'],Leipzig,"3119","5080","15907","98"
50b300c2-af91-46d8-9c1d-6c4eb5723409,['Sachsen'],Stadtkreis,Shell,['Leipzig'],Leipzig,"947","7235","2257","2087"
7b3aca66-9816-4fad-8968-f6e652f9b625,['Sachsen'],Landkreis,Supermarkt,['Zwickau'],Chemnitz,"190","523","26575","337"
6815f9a4-4191-475e-aa46-2f2df6ed19f7,['Sachsen'],Landkreis,ARAL,['Sächsische Schweiz-Osterzgebirge'],Dresden,"930","5242","18033","148"
e1a15081-260f-9107-e040-0b0a3dfe563c,['Sachsen'],Stadtkreis,HEM,['Dresden'],Dresden,"361","2461","3548","1726"
f8ee3783-8a9b-47a6-b955-501626bfe257,['Sachsen'],Stadtkreis,TotalEnergies,['Dresden'],Dresden,"2091","5293","2116","1726"
